,Incident Number,Incident Date,Time Num,Street,Alt Street,Intersection,Mile Post,Accident Type,Collision Type,Hit and Run,Involved Fatal Injury,Involved Medical Transport,Involved Placarded Truck,Posted Speed,Total Vehicles Involved,Weather Code,pedestrian,bicycle,Drug Involved,Alcohol Involved,Latitude,Longitude,Location WKT,Location,Light Condition,year,month,day,hour,day_of_week
257,20-072098,2020-07-21 11:45:00,12.0,2001 E 23rd St,,S. Orchard Knob Ave,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,40.0,2,Clear,1,0,0.0,0.0,35.019679,-85.282975,POINT (-85.282975 35.019679),"(35.019679, -85.282975)",Daylight,2020,7,21,11,1
258,20-078887,2020-08-07 19:04:00,19.0,E 11th St,SR-727,Peeples St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,25.0,1,Clear,1,0,0.0,1.0,35.040477,-85.299892,POINT (-85.299892 35.040477),"(35.040477, -85.299892)",Daylight,2020,8,7,19,4
259,20-079018,2020-08-08 02:10:00,2.0,5709 Lee Hwy,,6000 E Brainerd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,40.0,1,Clear,1,0,0.0,0.0,35.019342,-85.204593,POINT (-85.204593 35.019342),"(35.019342, -85.204593)",Dark - Lighted,2020,8,8,2,5
260,20-083089,2020-08-18 15:30:00,15.5,5637 Highway 58,SR-58,Tyner Ln,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,15.0,1,Clear,1,0,0.0,0.0,35.110503,-85.142253,POINT (-85.142253 35.110503),"(35.110503, -85.142253)",Daylight,2020,8,18,15,1
261,20-085320,2020-08-24 11:20:00,11.5,500 S Germantown Rd,,18350 Hwy 24 Wb,,Property Damage Under,Not Collision with Motor Vehicle in Transport,0,0,0,0,35.0,1,Rain,1,0,0.0,0.0,35.015328,-85.251282,POINT (-85.251282 35.015328),"(35.015328, -85.251282)",Daylight,2020,8,24,11,0
262,20-089148,2020-09-03 22:24:00,22.5,Long St,,W 26th St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,15.0,1,Clear,1,0,0.0,1.0,35.024836,-85.314417,POINT (-85.314417 35.024836),"(35.024836, -85.314417)",Dark - Lighted,2020,9,3,22,3
263,20-089911,2020-09-05 20:49:00,21.0,5400 Brainerd Rd,,Pisgah Ave,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,40.0,1,Clear,1,0,0.0,0.0,35.01038,-85.22103,POINT (-85.22103 35.01038),"(35.010380, -85.221030)",Dark - Lighted,2020,9,5,20,5
264,20-091001,2020-09-08 16:37:00,16.5,1020 N Moore Rd,,Belle Vista,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.027863,-85.21911,POINT (-85.21911 35.027863),"(35.027863, -85.219110)",Daylight,2020,9,8,16,1
265,20-093322,2020-09-14 18:25:00,18.5,400 N. Holtzclaw Ave,,East 3rd St.,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,40.0,1,Clear,1,0,0.0,0.0,35.044604,-85.281959,POINT (-85.281959 35.044604),"(35.044604, -85.281959)",Dusk,2020,9,14,18,0
266,20-093951,2020-09-16 14:50:00,15.0,200 E Martin Luther King Blvd St,,Non intersection,,Property Damage,Not Collision with Motor Vehicle in Transport,1,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.044563,-85.306585,POINT (-85.306585 35.044563),"(35.044563, -85.306585)",Daylight,2020,9,16,14,2
267,20-095018,2020-09-19 10:00:00,10.0,9200 Lee Hwy,,Artesian circle,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Cloudy,1,0,0.0,0.0,35.08452,-85.06383,POINT (-85.06383 35.08452),"(35.084520, -85.063830)",Daylight,2020,9,19,10,5
268,20-095146,2020-09-19 17:09:00,17.0,3614 Wilcox Blvd,,Dogwood Dr,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,30.0,1,Clear,1,0,0.0,0.0,35.045763,-85.233416,POINT (-85.233416 35.045763),"(35.045763, -85.233416)",Daylight,2020,9,19,17,5
269,20-096937,2020-09-24 18:45:00,19.0,N Market St,SR-000,Cherokee Blvd,,Property Damage Under,Not Collision with Motor Vehicle in Transport,1,0,0,0,30.0,1,Rain,1,0,0.0,0.0,35.062644,-85.308526,POINT (-85.308526 35.062644),"(35.062644, -85.308526)",Daylight,2020,9,24,18,3
270,20-101762,2020-10-07 15:00:00,15.0,Rossville Blvd,SR-3611,E 35th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,15.0,1,Clear,1,0,0.0,0.0,35.004673,-85.292334,POINT (-85.292334 35.004673),"(35.004673, -85.292334)",Daylight,2020,10,7,15,2
271,20-102108,2020-10-08 14:00:00,14.0,5428 Hwy 153,SR-5428,Northpoint Blvd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,15.0,1,Clear,1,0,0.0,0.0,34.9875422,-85.294598,POINT (-85.294598 34.9875422),"(34.9875422, -85.294598)",Daylight,2020,10,8,14,3
272,20-102319,2020-10-08 22:34:00,22.5,9050-9198 Lee Hwy,,Little Debbie Pkwy,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,40.0,1,Clear,1,0,0.0,0.0,35.08456,-85.06419,POINT (-85.06419 35.08456),"(35.084560, -85.064190)",Dark - Not Lighted,2020,10,8,22,3
273,20-102975,2020-10-10 19:18:00,19.5,W Aquarium Way,,Chestnut St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,15.0,1,Rain,1,0,0.0,0.0,35.054733,-85.311857,POINT (-85.311857 35.054733),"(35.054733, -85.311857)",Dark - Lighted,2020,10,10,19,5
274,20-102989,2020-10-10 20:15:00,20.5,5958 Snow Hill Rd,,Mountain View,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,15.0,1,Rain,1,0,0.0,0.0,35.090553,-85.064316,POINT (-85.064316 35.090553),"(35.090553, -85.064316)",Dark - Lighted,2020,10,10,20,5
275,20-104103,2020-10-13 19:52:00,20.0,4903 Brainerd Rd,,N Moore Rd,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,1.0,35.012915,-85.227459,POINT (-85.227459 35.012915),"(35.012915, -85.227459)",Dark - Lighted,2020,10,13,19,1
276,20-106163,2020-10-19 14:35:00,14.5,4216 Midland Pike,SR-4216,Talley Road,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,30.0,1,Clear,1,0,0.0,0.0,35.0514,-85.2804,POINT (-85.2804 35.0514),"(35.05140, -85.28040)",Daylight,2020,10,19,14,0
277,20-106494,2020-10-20 10:25:00,10.5,3330 Hixson Pike,,Carter Dr,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,40.0,1,Clear,1,0,0.0,0.0,35.101874,-85.274186,POINT (-85.274186 35.101874),"(35.101874, -85.274186)",Daylight,2020,10,20,10,1
278,20-107428,2020-10-22 20:00:00,20.0,Cooley St,,N Willow St,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,25.0,1,Clear,1,0,0.0,0.0,35.052261,-85.265688,POINT (-85.265688 35.052261),"(35.052261, -85.265688)",Dusk,2020,10,22,20,3
279,20-107955,2020-10-24 07:00:00,7.0,Lee Hwy,,Tyner Rd,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,45.0,1,Cloudy,1,0,0.0,0.0,35.055087,-85.143332,POINT (-85.143332 35.055087),"(35.055087, -85.143332)",Daylight,2020,10,24,7,5
280,20-108879,2020-10-26 17:15:00,17.5,7205 Aventine Way,,E Brainerd,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,15.0,1,Clear,1,0,0.0,0.0,35.016396,-85.168561,POINT (-85.168561 35.016396),"(35.016396, -85.168561)",Daylight,2020,10,26,17,0
281,20-112901,2020-11-06 14:57:00,15.0,501 Signal Mountain Rd,,Mundy Street,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,15.0,1,Clear,1,0,0.0,0.0,35.094368,-85.331318,POINT (-85.331318 35.094368),"(35.094368, -85.331318)",Daylight,2020,11,6,14,4
282,20-114836,2020-11-11 18:00:00,18.0,1701-1799 E 37th St,,Rossville Blvd,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,30.0,1,Rain,1,0,0.0,0.0,35.001482,-85.291618,POINT (-85.291618 35.001482),"(35.001482, -85.291618)",Dark - Lighted,2020,11,11,18,2
283,20-115153,2020-11-12 15:49:00,16.0,7500 Bonny Oaks Dr,,Lee Hwy,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,40.0,1,Clear,1,0,1.0,0.0,35.0607478,-85.134369,POINT (-85.134369 35.0607478),"(35.0607478, -85.134369)",Daylight,2020,11,12,15,3
284,20-116395,2020-11-16 12:05:00,12.0,6th Ave,SR-2500,E 25th Street Ct,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,15.0,1,Clear,1,0,0.0,0.0,35.013672,-85.279925,POINT (-85.279925 35.013672),"(35.013672, -85.279925)",Daylight,2020,11,16,12,0
285,20-116850,2020-11-17 15:52:00,16.0,W 3rd St,,Market St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,35.0,1,Clear,1,0,0.0,0.0,35.053512,-85.309667,POINT (-85.309667 35.053512),"(35.053512, -85.309667)",Daylight,2020,11,17,15,1
286,20-117843,2020-11-20 10:20:00,10.5,3500 Brainerd Rd,,N Germantown Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.023571,-85.244828,POINT (-85.244828 35.023571),"(35.023571, -85.244828)",Daylight,2020,11,20,10,4
287,20-120310,2020-11-27 12:54:00,13.0,6101 Lee Hwy,SR-6100,Lee Hwy,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,15.0,1,Clear,1,0,0.0,0.0,35.030545,-85.189874,POINT (-85.189874 35.030545),"(35.030545, -85.189874)",Daylight,2020,11,27,12,4
288,20-121339,2020-11-30 14:00:00,14.0,7734 Lee Hwy,,Bonny Oaks Dr,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,15.0,1,Clear,1,0,0.0,0.0,35.062796,-85.130151,POINT (-85.130151 35.062796),"(35.062796, -85.130151)",Daylight,2020,11,30,14,0
289,20-121641,2020-12-01 12:00:00,12.0,5928 Hixson Pike,,Cassandra Smith Rd,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,,1,Clear,1,0,0.0,0.0,35.147481,-85.20734,POINT (-85.20734 35.147481),"(35.147481, -85.207340)",Daylight,2020,12,1,12,1
290,20-123091,2020-12-05 13:08:00,13.0,Gunbarrel Rd,,Goodwin Rd,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,15.0,1,Clear,1,0,0.0,0.0,35.033214,-85.151302,POINT (-85.151302 35.033214),"(35.033214, -85.151302)",Daylight,2020,12,5,13,5
291,20-123606,2020-12-06 19:55:00,20.0,4300 Highway 58,,Murray Hills Drive,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,45.0,1,Clear,1,0,0.0,1.0,35.082562,-85.206217,POINT (-85.206217 35.082562),"(35.082562, -85.206217)",Dark - Lighted,2020,12,6,19,6
292,20-124901,2020-12-10 15:40:00,15.5,3354 Charger Dr,,W 37th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.013799,-85.323359,POINT (-85.323359 35.013799),"(35.013799, -85.323359)",Daylight,2020,12,10,15,3
293,20-126579,2020-12-15 10:05:00,10.0,3424 Rossville Blvd,,E 35th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,40.0,1,Clear,1,0,0.0,0.0,35.004258,-85.292268,POINT (-85.292268 35.004258),"(35.004258, -85.292268)",Daylight,2020,12,15,10,1
294,20-127642,2020-12-18 06:17:00,6.5,6200 Mountain View Rd,,Hunter Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,35.0,1,Clear,1,0,0.0,1.0,35.098445,-85.05571,POINT (-85.05571 35.098445),"(35.098445, -85.055710)",Dark - Not Lighted,2020,12,18,6,4
295,20-129209,2020-12-22 15:45:00,16.0,700-799 River Terminal Rd,,Riverport Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,15.0,1,Clear,1,0,0.0,0.0,35.071852,-85.271676,POINT (-85.271676 35.071852),"(35.071852, -85.271676)",Daylight,2020,12,22,15,1
296,20-129760,2020-12-24 06:12:00,6.0,116 Central Ave,,East 3rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,25.0,1,Rain,1,0,0.0,0.0,35.04786,-85.287357,POINT (-85.287357 35.04786),"(35.047860, -85.287357)",Dark - Lighted,2020,12,24,6,3
297,20-129939,2020-12-24 17:41:00,17.5,490 Greenway View Dr,,Brainerd rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,15.0,1,Cloudy,1,0,0.0,0.0,35.008709,-85.205213,POINT (-85.205213 35.008709),"(35.008709, -85.205213)",Dark - Lighted,2020,12,24,17,3
298,20-130072,2020-12-25 04:22:00,4.5,Derby Cir,,E 4th St,,Property Damage Under,Not Collision with Motor Vehicle in Transport,1,0,0,0,30.0,1,Clear,1,0,,1.0,35.037478,-85.265377,POINT (-85.265377 35.037478),"(35.037478, -85.265377)",Dark - Lighted,2020,12,25,4,4
299,20-130803,2020-12-27 21:00:00,21.0,120 Market St,,W Aquarium Way,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,25.0,1,Clear,1,0,0.0,1.0,35.055214,-85.309333,POINT (-85.309333 35.055214),"(35.055214, -85.309333)",Dark - Lighted,2020,12,27,21,6
300,21-000491,2021-01-02 07:32:00,7.5,6725 Dupre Rd,SR-6725,Hickory Valley Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,25.0,1,Clear,1,0,0.0,0.0,35.02471,-85.180158,POINT (-85.180158 35.02471),"(35.024710, -85.180158)",Dawn,2021,1,2,7,5
301,21-001351,2021-01-04 17:10:00,17.0,1804 Gunbarrel Rd,,Crane Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,,1,Clear,1,0,0.0,0.0,35.023735,-85.158512,POINT (-85.158512 35.023735),"(35.023735, -85.158512)",Daylight,2021,1,4,17,0
302,21-004955,2021-01-15 20:02:00,20.0,Amnicola Hwy,,Judd Rd,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,50.0,1,Clear,1,0,0.0,1.0,35.084474,-85.262399,POINT (-85.262399 35.084474),"(35.084474, -85.262399)",Dark - Lighted,2021,1,15,20,4
303,21-005304,2021-01-16 21:04:00,21.0,Rossville Blvd,,27th St,,Property Damage Under,Not Collision with Motor Vehicle in Transport,0,0,0,0,45.0,1,Clear,1,0,0.0,0.0,35.01603,-85.29329,POINT (-85.29329 35.01603),"(35.016030, -85.293290)",Dark - Not Lighted,2021,1,16,21,5
304,21-005918,2021-01-18 02:00:00,2.0,18517 Interstate 24 Eastbound,,Spring Creek Rd,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,45.0,1,Clear,1,0,0.0,0.0,35.004152,-85.219256,POINT (-85.219256 35.004152),"(35.004152, -85.219256)",Dark - Unknown Lighting,2021,1,18,2,0
305,21-007573,2021-01-23 13:48:00,14.0,2521 Lifestyle Way,,Napier Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,15.0,1,Clear,1,0,0.0,0.0,35.044337,-85.152338,POINT (-85.152338 35.044337),"(35.044337, -85.152338)",Daylight,2021,1,23,13,5
306,21-007940,2021-01-24 17:35:00,17.5,1906 Fairleigh St,,N Beech St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,30.0,1,Cloudy,1,0,0.0,0.0,35.1310404,-85.236565,POINT (-85.236565 35.1310404),"(35.1310404, -85.236565)",Dusk,2021,1,24,17,6
307,21-009748,2021-01-29 19:44:00,19.5,E 11th St,SR-600,Baldwin St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,25.0,1,Clear,1,0,0.0,0.0,35.0451953,-85.304933,POINT (-85.304933 35.0451953),"(35.0451953, -85.304933)",Dark - Lighted,2021,1,29,19,4
308,21-009977,2021-01-30 13:45:00,14.0,5764 Highway 153,,Hwy 153 Nb,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,45.0,1,Cloudy,1,0,0.0,0.0,35.152975,-85.24562,POINT (-85.24562 35.152975),"(35.152975, -85.245620)",Daylight,2021,1,30,13,5
309,21-010176,2021-01-30 22:35:00,22.5,5814 Lee Hwy,,Chickamauga Rd,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,40.0,1,Clear,1,0,0.0,0.0,35.021343,-85.200063,POINT (-85.200063 35.021343),"(35.021343, -85.200063)",Dark - Lighted,2021,1,30,22,5
310,21-010839,2021-02-01 20:15:00,20.5,3907 Dodds Ave,,E 40th St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,30.0,1,Clear,1,0,0.0,0.0,34.997051,-85.283782,POINT (-85.283782 34.997051),"(34.997051, -85.283782)",Dark - Lighted,2021,2,1,20,0
311,21-012027,2021-02-05 07:13:00,7.0,6951 Lee Hwy,,Shallowford Rd,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,40.0,1,Clear,1,0,0.0,0.0,35.044762,-85.164109,POINT (-85.164109 35.044762),"(35.044762, -85.164109)",Dark - Lighted,2021,2,5,7,4
312,21-013599,2021-02-09 18:10:00,18.0,4040 Mountain Creek Rd,,Mountain Creek Rd,,Property Damage Under,Not Collision with Motor Vehicle in Transport,1,0,0,0,15.0,1,Clear,1,0,0.0,0.0,35.128226,-85.307986,POINT (-85.307986 35.128226),"(35.128226, -85.307986)",Daylight,2021,2,9,18,1
313,21-014454,2021-02-12 06:30:00,6.5,3600 Rossville Blvd,US-3600,37th,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.002372,-85.291848,POINT (-85.291848 35.002372),"(35.002372, -85.291848)",Dawn,2021,2,12,6,4
314,21-018142,2021-02-22 18:48:00,19.0,2301 4th Ave,,E 23rd St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,25.0,1,Clear,1,0,0.0,0.0,35.017689,-85.280427,POINT (-85.280427 35.017689),"(35.017689, -85.280427)",Daylight,2021,2,22,18,0
315,21-018780,2021-02-24 13:45:00,14.0,S Willow St,,E 23rd St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.018994,-85.279976,POINT (-85.279976 35.018994),"(35.018994, -85.279976)",Daylight,2021,2,24,13,2
316,21-020073,2021-02-27 21:56:00,22.0,Mountain Creek Rd,SR-900,Signal View,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,25.0,1,Clear,1,0,0.0,0.0,35.103758,-85.32436,POINT (-85.32436 35.103758),"(35.103758, -85.324360)",Dark - Lighted,2021,2,27,21,5
317,21-020081,2021-02-27 22:28:00,22.5,2301 4th Ave,,E 23rd St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,45.0,1,Clear,1,0,0.0,0.0,35.017689,-85.280427,POINT (-85.280427 35.017689),"(35.017689, -85.280427)",Dark - Lighted,2021,2,27,22,5
318,21-022990,2021-03-08 00:55:00,1.0,4711 Brainerd Rd,,Woodvale,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,35.0,1,Clear,1,0,,,35.014231,-85.23045,POINT (-85.23045 35.014231),"(35.014231, -85.230450)",Dark - Lighted,2021,3,8,0,0
319,21-027250,2021-03-19 14:30:00,14.5,Manufacturers Rd,SR-100,Cherokee Blvd,1.0,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,30.0,1,Clear,1,0,0.0,0.0,35.063562,-85.310268,POINT (-85.310268 35.063562),"(35.063562, -85.310268)",Daylight,2021,3,19,14,4
320,21-028744,2021-03-23 17:44:00,17.5,Riverfront Pkwy,,Power Ally,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,25.0,1,Rain,1,0,0.0,0.0,35.055585,-85.314669,POINT (-85.314669 35.055585),"(35.055585, -85.314669)",Daylight,2021,3,23,17,1
321,21-029022,2021-03-24 12:30:00,12.5,2020 Gunbarrel Rd,,Goodwin Rd,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,15.0,1,Clear,1,0,0.0,0.0,35.030081,-85.153146,POINT (-85.153146 35.030081),"(35.030081, -85.153146)",Daylight,2021,3,24,12,2
322,21-029661,2021-03-26 11:35:00,11.5,Tremont St,,Frazier Ave,,Property Damage Under,Not Collision with Motor Vehicle in Transport,0,0,0,0,30.0,1,Clear,1,0,0.0,0.0,35.061751,-85.30483,POINT (-85.30483 35.061751),"(35.061751, -85.304830)",Daylight,2021,3,26,11,4
323,21-031354,2021-03-30 14:30:00,14.5,7804 E Brainerd Rd,,E Brainerd Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,,1,Clear,1,0,0.0,0.0,35.008124,-85.154777,POINT (-85.154777 35.008124),"(35.008124, -85.154777)",Daylight,2021,3,30,14,1
324,21-032028,2021-04-01 09:00:00,9.0,Houston St,,Vine St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.04888,-85.30315,POINT (-85.30315 35.04888),"(35.048880, -85.303150)",Daylight,2021,4,1,9,3
325,21-033726,2021-04-05 21:46:00,22.0,000 W Bell Ave,,N Market St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,30.0,1,Clear,1,0,0.0,0.0,35.068284,-85.308932,POINT (-85.308932 35.068284),"(35.068284, -85.308932)",Dark - Lighted,2021,4,5,21,0
326,21-033984,2021-04-06 15:40:00,15.5,Amnicola Hwy,SR-2005,Amnicola Hwy,,Property Damage,Not Collision with Motor Vehicle in Transport,0,0,0,0,50.0,1,Clear,1,0,1.0,0.0,35.060881,-85.274813,POINT (-85.274813 35.060881),"(35.060881, -85.274813)",Daylight,2021,4,6,15,1
327,21-034111,2021-04-06 20:30:00,20.5,3604 Brainerd Rd,,Germantown rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,15.0,1,Clear,1,0,0.0,0.0,35.023303,-85.245707,POINT (-85.245707 35.023303),"(35.023303, -85.245707)",Dark - Lighted,2021,4,6,20,1
328,21-034232,2021-04-07 07:40:00,7.5,5840 Lake Resort Ter,,Lake Resort Ter,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,,1,Clear,1,0,0.0,0.0,35.10906,-85.21286,POINT (-85.21286 35.10906),"(35.109060, -85.212860)",Dawn,2021,4,7,7,2
329,21-035654,2021-04-10 17:37:00,17.5,S Greenwood Ave,,E 16th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,25.0,1,Clear,1,0,0.0,0.0,35.027774,-85.287382,POINT (-85.287382 35.027774),"(35.027774, -85.287382)",Daylight,2021,4,10,17,5
330,21-036762,2021-04-13 14:00:00,14.0,3800 Chandler Ave,,400 West 38th Street,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,35.0,1,Clear,1,0,,,35.006719,-85.313922,POINT (-85.313922 35.006719),"(35.006719, -85.313922)",Daylight,2021,4,13,14,1
331,21-037802,2021-04-16 03:58:00,4.0,,I-75,Hwy 153 NB,,Fatal,Not Collision with Motor Vehicle in Transport,0,1,0,0,55.0,4,Clear,1,0,1.0,1.0,35.030023,-85.169946,POINT (-85.169946 35.030023),"(35.0300230, -85.169946)",Dark - Not Lighted,2021,4,16,3,4
332,21-037880,2021-04-16 10:15:00,10.5,6220 Perimeter Dr,,Perimeter Dr,,Property Damage Under,Not Collision with Motor Vehicle in Transport,0,0,0,0,,1,Clear,1,0,0.0,0.0,35.028732,-85.183754,POINT (-85.183754 35.028732),"(35.028732, -85.183754)",Daylight,2021,4,16,10,4
333,21-040086,2021-04-22 08:00:00,8.0,500 S Willow St,,Bailey Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,25.0,1,Clear,1,0,0.0,0.0,35.033198,-85.272756,POINT (-85.272756 35.033198),"(35.033198, -85.272756)",Daylight,2021,4,22,8,3
334,21-040377,2021-04-23 00:00:00,,300 N Germantown Rd,SR-300,Rogers Rd,,Fatal,Not Collision with Motor Vehicle in Transport,1,1,0,0,30.0,1,Clear,1,0,0.0,0.0,35.034097,-85.241284,POINT (-85.241284 35.034097),"(35.034097, -85.241284)",Dark - Not Lighted,2021,4,23,0,4
335,21-041515,2021-04-26 00:16:00,0.5,1523 Bradt St,,Camden St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,30.0,2,Clear,1,0,0.0,0.0,35.054535,-85.262452,POINT (-85.262452 35.054535),"(35.054535, -85.262452)",Dark - Lighted,2021,4,26,0,0
336,21-041556,2021-04-26 05:40:00,5.5,Cherokee Blvd,SR-100,Manufacturers Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,35.0,1,Clear,1,0,0.0,0.0,35.063562,-85.310268,POINT (-85.310268 35.063562),"(35.063562, -85.310268)",Dark - Lighted,2021,4,26,5,0
337,21-042343,2021-04-27 10:00:00,10.0,5800 Lee Hwy,,Lee Hwy,,Property Damage Under,Not Collision with Motor Vehicle in Transport,0,0,0,0,,1,Clear,1,0,0.0,0.0,35.020397,-85.200939,POINT (-85.200939 35.020397),"(35.020397, -85.200939)",Daylight,2021,4,27,10,1
338,21-042799,2021-04-29 10:47:00,11.0,1200 Nellie St,,Hoyt,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,25.0,2,Cloudy,1,0,0.0,0.0,35.045715,-85.247063,POINT (-85.247063 35.045715),"(35.045715, -85.247063)",Daylight,2021,4,29,10,3
339,21-046720,2021-05-09 00:30:00,0.5,1801 S Holtzclaw Ave,,E 21st,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,,1,Clear,1,0,0.0,1.0,35.025405,-85.290348,POINT (-85.290348 35.025405),"(35.025405, -85.290348)",Dark - Lighted,2021,5,9,0,6
340,21-049304,2021-05-15 20:21:00,20.5,2300 4th Ave,,E 23rd St,,Property Damage Under,Not Collision with Motor Vehicle in Transport,1,0,0,0,35.0,1,Clear,1,0,0.0,1.0,35.017356,-85.279988,POINT (-85.279988 35.017356),"(35.017356, -85.279988)",Dawn,2021,5,15,20,5
341,21-049321,2021-05-15 21:25:00,21.5,E 23rd St,,Rossville Blvd,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,45.0,1,Clear,1,0,0.0,0.0,35.024513,-85.297979,POINT (-85.297979 35.024513),"(35.024513, -85.297979)",Dark - Not Lighted,2021,5,15,21,5
342,21-054689,2021-05-28 14:20:00,14.5,Hamill Rd,SR-1933,Hwy 153,6.0,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,0,0,15.0,1,Clear,1,0,0.0,0.0,35.123297,-85.240129,POINT (-85.240129 35.123297),"(35.123297, -85.240129)",Daylight,2021,5,28,14,4
